Ticket_ID,Priority,Issue_Category,Created_Time,Resolved_Time,Vendor_Name
TICK-1038,P2,VPN Connectivity Issue,2026-03-22 07:34:00,2026-03-22 12:59:07.397977,Malawi Cloud Partners
TICK-1039,P3,Software Installation,2026-02-04 00:58:00,2026-02-05 06:12:30.564312,NetConnect Solutions
TICK-1040,P3,Software Installation,2026-01-05 09:38:00,2026-01-06 12:17:41.424612,Internal IT Desk
TICK-1041,P3,Software Installation,2026-02-10 06:08:00,2026-02-10 21:12:05.728161,Malawi Cloud Partners
TICK-1042,P1,Database Corruption,2026-03-13 11:33:00,2026-03-13 14:37:41.409362,Malawi Cloud Partners
TICK-1043,P3,Password Reset,2026-02-02 15:54:00,2026-02-03 16:37:20.483720,Internal IT Desk
TICK-1044,P2,Printer Network Offline,2026-01-23 23:36:00,2026-01-24 01:49:16.447855,NetConnect Solutions
TICK-1045,P2,Printer Network Offline,2026-02-13 07:21:00,2026-02-13 17:03:14.667041,Internal IT Desk
TICK-1046,P1,ERP System Down,2026-02-04 00:34:00,2026-02-04 01:02:46.332278,Malawi Cloud Partners
TICK-1047,P3,New Employee Onboarding Set,2026-02-16 13:02:00,2026-02-17 07:28:39.785203,InnoTech Hardware
TICK-1048,P3,Software Installation,2026-01-01 04:25:00,2026-01-02 06:36:52.192410,NetConnect Solutions
TICK-1049,P3,New Employee Onboarding Set,2026-01-14 06:26:00,2026-01-15 07:22:39.691885,Internal IT Desk
TICK-1050,P3,Password Reset,2026-01-09 14:14:00,2026-01-09 23:04:01.869133,Malawi Cloud Partners
TICK-1051,P3,Software Installation,2026-03-31 09:59:00,2026-04-01 17:25:07.882609,Internal IT Desk
TICK-1052,P3,Password Reset,2026-03-18 18:31:00,2026-03-20 06:00:14.225045,NetConnect Solutions
TICK-1053,P2,Email Server Delay,2026-02-21 03:29:00,2026-02-21 07:46:58.365812,Malawi Cloud Partners
TICK-1054,P2,Printer Network Offline,2026-01-23 06:44:00,2026-01-23 15:15:00.005714,NetConnect Solutions
TICK-1055,P3,Software Installation,2026-01-15 10:28:00,2026-01-16 07:51:00.419227,Internal IT Desk
TICK-1056,P2,VPN Connectivity Issue,2026-02-05 12:31:00,2026-02-05 22:16:57.486701,NetConnect Solutions
TICK-1057,P2,VPN Connectivity Issue,2026-03-12 18:21:00,2026-03-13 03:57:36.863674,Malawi Cloud Partners
TICK-1058,P3,Software Installation,2026-01-28 01:41:00,2026-01-28 06:43:27.015877,Internal IT Desk
TICK-1059,P3,Software Installation,2026-02-14 20:05:00,2026-02-15 14:52:13.607896,Malawi Cloud Partners
TICK-1060,P1,ERP System Down,2026-01-28 11:43:00,2026-01-28 13:07:07.518984,NetConnect Solutions
TICK-1061,P2,Printer Network Offline,2026-03-25 10:57:00,2026-03-25 14:33:29.716887,NetConnect Solutions
TICK-1062,P3,New Employee Onboarding Set,2026-03-30 06:32:00,2026-03-31 05:25:18.405760,NetConnect Solutions
TICK-1063,P3,Software Installation,2026-01-01 19:12:00,2026-01-01 23:34:18.686197,NetConnect Solutions
TICK-1064,P3,New Employee Onboarding Set,2026-01-03 06:05:00,2026-01-04 01:26:28.953759,Malawi Cloud Partners
TICK-1065,P3,Password Reset,2026-03-13 08:36:00,2026-03-14 10:50:21.913282,InnoTech Hardware
TICK-1066,P3,Software Installation,2026-02-20 09:43:00,2026-02-20 14:59:04.088680,NetConnect Solutions
TICK-1067,P3,Password Reset,2026-01-24 14:58:00,2026-01-25 02:42:43.585827,NetConnect Solutions
TICK-1068,P3,Software Installation,2026-02-01 23:40:00,2026-02-02 19:37:51.915278,InnoTech Hardware
TICK-1069,P2,Printer Network Offline,2026-02-21 16:48:00,2026-02-22 00:23:47.352606,NetConnect Solutions
TICK-1070,P2,Email Server Delay,2026-02-27 19:11:00,2026-02-28 02:31:32.719415,Malawi Cloud Partners
TICK-1071,P2,Printer Network Offline,2026-02-08 01:02:00,2026-02-08 11:16:42.505688,NetConnect Solutions
TICK-1072,P2,Printer Network Offline,2026-02-25 16:58:00,2026-02-26 04:44:28.789907,Malawi Cloud Partners
TICK-1073,P3,Software Installation,2026-01-02 01:27:00,2026-01-03 07:44:09.971867,Malawi Cloud Partners
TICK-1074,P2,Email Server Delay,2026-02-23 22:36:00,2026-02-24 10:06:55.799077,NetConnect Solutions
TICK-1075,P3,Password Reset,2026-01-01 18:01:00,2026-01-02 17:02:58.268626,Malawi Cloud Partners
TICK-1076,P1,Core Switch Failure,2026-02-22 11:25:00,2026-02-22 11:56:57.071851,Internal IT Desk
TICK-1077,P3,New Employee Onboarding Set,2026-02-01 05:31:00,2026-02-01 20:22:44.662181,Internal IT Desk
TICK-1078,P2,Printer Network Offline,2026-03-09 22:10:00,2026-03-10 09:06:53.399618,InnoTech Hardware
TICK-1079,P3,New Employee Onboarding Set,2026-02-25 16:37:00,2026-02-26 12:00:20.121383,Malawi Cloud Partners
TICK-1080,P3,Software Installation,2026-01-24 04:51:00,2026-01-24 22:53:07.551340,Malawi Cloud Partners
TICK-1081,P1,ERP System Down,2026-03-11 21:10:00,2026-03-11 22:44:33.580249,InnoTech Hardware
TICK-1082,P3,Software Installation,2026-01-16 00:08:00,2026-01-16 14:39:42.808836,Malawi Cloud Partners
TICK-1083,P2,Email Server Delay,2026-02-28 05:15:00,2026-02-28 15:58:05.980043,Internal IT Desk
TICK-1084,P3,Software Installation,2026-01-03 19:59:00,2026-01-04 05:09:24.677086,InnoTech Hardware
TICK-1085,P3,Password Reset,2026-02-28 03:18:00,2026-02-28 17:56:02.644841,Malawi Cloud Partners
TICK-1086,P2,VPN Connectivity Issue,2026-03-31 02:18:00,2026-03-31 06:17:43.528233,Internal IT Desk
TICK-1087,P2,Email Server Delay,2026-01-20 06:51:00,2026-01-20 09:09:23.490079,Malawi Cloud Partners
TICK-1088,P3,New Employee Onboarding Set,2026-02-02 07:38:00,2026-02-03 15:25:04.992623,NetConnect Solutions
TICK-1089,P2,Printer Network Offline,2026-03-23 07:00:00,2026-03-23 13:15:17.760040,Internal IT Desk
TICK-1090,P3,New Employee Onboarding Set,2026-01-11 17:22:00,2026-01-12 14:45:08.220291,Internal IT Desk
TICK-1091,P3,Software Installation,2026-01-31 09:34:00,2026-01-31 14:30:26.240151,Internal IT Desk
TICK-1092,P2,Printer Network Offline,2026-01-07 15:25:00,2026-01-07 23:23:38.048349,Malawi Cloud Partners
TICK-1093,P3,Software Installation,2026-03-01 16:01:00,2026-03-02 14:58:18.757854,InnoTech Hardware
TICK-1094,P2,Email Server Delay,2026-01-01 15:11:00,2026-01-01 23:24:46.797008,InnoTech Hardware
TICK-1095,P3,Software Installation,2026-03-10 04:31:00,2026-03-11 09:20:55.223850,InnoTech Hardware
TICK-1096,P2,Printer Network Offline,2026-01-09 08:34:00,2026-01-09 14:17:42.550939,Internal IT Desk
TICK-1097,P2,Email Server Delay,2026-01-19 15:15:00,2026-01-19 17:56:28.780303,NetConnect Solutions
TICK-1098,P2,Printer Network Offline,2026-01-03 19:23:00,2026-01-04 01:26:00.748767,Internal IT Desk
TICK-1099,P3,New Employee Onboarding Set,2026-02-23 23:32:00,2026-02-25 00:44:13.971342,NetConnect Solutions
TICK-1100,P2,Printer Network Offline,2026-01-24 19:10:00,2026-01-25 00:17:17.330041,InnoTech Hardware
TICK-1101,P3,Password Reset,2026-03-13 03:37:00,2026-03-13 18:01:21.895399,NetConnect Solutions
TICK-1102,P2,VPN Connectivity Issue,2026-03-25 02:47:00,2026-03-25 07:08:37.816680,InnoTech Hardware
TICK-1103,P2,Printer Network Offline,2026-03-30 02:24:00,2026-03-30 09:35:51.862148,Internal IT Desk
TICK-1104,P3,New Employee Onboarding Set,2026-01-18 13:17:00,2026-01-19 07:04:18.242726,NetConnect Solutions
TICK-1105,P3,Password Reset,2026-03-07 21:34:00,2026-03-08 06:54:43.227790,NetConnect Solutions
TICK-1106,P3,Password Reset,2026-03-21 08:35:00,2026-03-22 09:49:30.281582,InnoTech Hardware
TICK-1107,P3,New Employee Onboarding Set,2026-02-02 03:32:00,2026-02-03 09:18:53.201620,Internal IT Desk
TICK-1108,P3,Software Installation,2026-01-14 20:47:00,2026-01-15 18:03:37.152711,Internal IT Desk
TICK-1109,P3,Software Installation,2026-01-20 23:07:00,2026-01-21 20:06:50.729626,NetConnect Solutions
TICK-1110,P1,ERP System Down,2026-01-07 02:16:00,2026-01-07 02:38:54.336428,InnoTech Hardware
TICK-1111,P3,New Employee Onboarding Set,2026-02-02 15:11:00,2026-02-02 22:29:21.191861,NetConnect Solutions
TICK-1112,P1,Core Switch Failure,2026-02-28 18:21:00,2026-02-28 19:06:34.920638,Malawi Cloud Partners
TICK-1113,P3,Password Reset,2026-01-22 13:29:00,2026-01-22 18:02:22.151829,InnoTech Hardware
TICK-1114,P3,New Employee Onboarding Set,2026-02-07 05:44:00,2026-02-08 04:17:48.928861,NetConnect Solutions
TICK-1115,P3,New Employee Onboarding Set,2026-02-20 21:07:00,2026-02-21 22:27:22.762469,InnoTech Hardware
TICK-1116,P1,Core Switch Failure,2026-01-27 01:20:00,2026-01-27 01:33:56.732278,NetConnect Solutions
TICK-1117,P2,Email Server Delay,2026-01-30 00:27:00,2026-01-30 04:04:25.748208,InnoTech Hardware
TICK-1118,P1,Core Switch Failure,2026-03-05 00:04:00,2026-03-05 00:19:16.903434,Internal IT Desk
TICK-1119,P3,Password Reset,2026-03-02 15:18:00,2026-03-03 03:28:11.311649,Malawi Cloud Partners
TICK-1120,P3,Software Installation,2026-01-04 02:48:00,2026-01-04 18:46:38.987575,Malawi Cloud Partners
TICK-1121,P2,VPN Connectivity Issue,2026-01-17 11:27:00,2026-01-17 21:45:31.578888,NetConnect Solutions
TICK-1122,P3,Password Reset,2026-01-30 13:52:00,2026-01-30 21:29:10.251158,Internal IT Desk
TICK-1123,P3,New Employee Onboarding Set,2026-01-06 02:59:00,2026-01-07 02:12:10.219301,NetConnect Solutions
TICK-1124,P3,Password Reset,2026-02-06 23:28:00,2026-02-08 00:48:35.118757,NetConnect Solutions
TICK-1125,P1,Core Switch Failure,2026-02-15 20:30:00,2026-02-15 20:45:36.929523,Internal IT Desk
TICK-1126,P2,Email Server Delay,2026-03-01 00:51:00,2026-03-01 06:55:08.686586,NetConnect Solutions
TICK-1127,P3,New Employee Onboarding Set,2026-03-04 20:31:00,2026-03-05 09:45:16.580605,NetConnect Solutions
TICK-1128,P3,Software Installation,2026-03-28 00:02:00,2026-03-29 04:31:09.987597,NetConnect Solutions
TICK-1129,P2,Email Server Delay,2026-01-18 09:30:00,2026-01-18 19:07:22.264852,Malawi Cloud Partners
TICK-1130,P2,Printer Network Offline,2026-02-23 02:39:00,2026-02-23 12:49:42.031782,NetConnect Solutions
TICK-1131,P3,Password Reset,2026-02-15 23:49:00,2026-02-16 14:19:29.517452,NetConnect Solutions
TICK-1132,P2,VPN Connectivity Issue,2026-02-01 14:21:00,2026-02-01 21:59:03.801385,InnoTech Hardware
TICK-1133,P2,Email Server Delay,2026-01-23 01:26:00,2026-01-23 09:23:53.477099,NetConnect Solutions
TICK-1134,P2,VPN Connectivity Issue,2026-01-02 16:39:00,2026-01-02 19:22:55.053256,Malawi Cloud Partners
TICK-1135,P2,Printer Network Offline,2026-02-02 08:42:00,2026-02-02 16:53:41.652456,Malawi Cloud Partners
TICK-1136,P3,Software Installation,2026-02-17 06:28:00,2026-02-18 14:05:36.036431,NetConnect Solutions
TICK-1137,P2,Email Server Delay,2026-02-11 22:25:00,2026-02-12 08:33:15.586380,NetConnect Solutions
TICK-1138,P2,VPN Connectivity Issue,2026-02-19 23:12:00,2026-02-20 06:27:58.456702,Malawi Cloud Partners
TICK-1139,P3,New Employee Onboarding Set,2026-03-01 06:56:00,2026-03-01 23:33:10.885304,InnoTech Hardware
TICK-1140,P3,New Employee Onboarding Set,2026-02-05 12:19:00,2026-02-06 15:12:44.552498,Malawi Cloud Partners
TICK-1141,P1,Database Corruption,2026-03-06 07:45:00,2026-03-06 08:35:43.615523,InnoTech Hardware
TICK-1142,P1,Database Corruption,2026-01-16 13:11:00,2026-01-16 13:36:06.758459,InnoTech Hardware
TICK-1143,P2,Printer Network Offline,2026-03-28 14:27:00,2026-03-29 01:47:39.696965,Internal IT Desk
TICK-1144,P2,Email Server Delay,2026-03-07 22:21:00,2026-03-08 05:12:31.383331,Malawi Cloud Partners
TICK-1145,P2,VPN Connectivity Issue,2026-02-20 21:57:00,2026-02-21 09:14:45.811587,InnoTech Hardware
TICK-1146,P3,Software Installation,2026-02-27 21:48:00,2026-02-28 21:19:50.451837,Malawi Cloud Partners
TICK-1147,P2,Email Server Delay,2026-02-21 09:05:00,2026-02-21 15:13:07.767655,NetConnect Solutions
TICK-1148,P3,Software Installation,2026-01-15 21:42:00,2026-01-16 23:29:44.776777,InnoTech Hardware
TICK-1149,P3,Password Reset,2026-03-01 04:32:00,2026-03-02 07:13:22.129350,InnoTech Hardware
TICK-1150,P3,Software Installation,2026-01-08 20:59:00,2026-01-10 06:21:05.086753,Malawi Cloud Partners
TICK-1151,P3,Password Reset,2026-01-05 06:03:00,2026-01-05 22:00:08.315486,NetConnect Solutions
TICK-1152,P3,Software Installation,2026-01-06 12:31:00,2026-01-06 16:35:57.678510,InnoTech Hardware
TICK-1153,P3,Software Installation,2026-02-16 02:54:00,2026-02-17 01:53:35.643163,Malawi Cloud Partners
TICK-1154,P2,Email Server Delay,2026-02-09 19:15:00,2026-02-09 22:59:51.843942,Malawi Cloud Partners
TICK-1155,P3,Password Reset,2026-01-13 17:59:00,2026-01-14 22:37:17.629469,Internal IT Desk
TICK-1156,P2,VPN Connectivity Issue,2026-01-30 18:16:00,2026-01-30 23:17:14.178066,NetConnect Solutions
TICK-1157,P3,Software Installation,2026-03-04 18:27:00,2026-03-05 19:48:41.748398,InnoTech Hardware
TICK-1158,P3,Software Installation,2026-02-27 22:25:00,2026-02-28 16:52:23.636591,Malawi Cloud Partners
TICK-1159,P2,Printer Network Offline,2026-03-31 20:22:00,2026-04-01 05:44:07.454818,NetConnect Solutions
TICK-1160,P2,Email Server Delay,2026-01-09 11:52:00,2026-01-09 14:49:25.723999,NetConnect Solutions
TICK-1161,P3,New Employee Onboarding Set,2026-01-01 00:46:00,2026-01-01 11:21:52.646153,Internal IT Desk
TICK-1162,P2,Email Server Delay,2026-02-03 21:47:00,2026-02-04 06:06:12.557497,Malawi Cloud Partners
TICK-1163,P2,VPN Connectivity Issue,2026-03-30 07:44:00,2026-03-30 12:28:43.449144,Malawi Cloud Partners
TICK-1164,P3,Password Reset,2026-01-01 15:38:00,2026-01-02 09:48:00.994573,InnoTech Hardware
TICK-1165,P3,Software Installation,2026-03-05 04:21:00,2026-03-05 08:51:22.589771,NetConnect Solutions
TICK-1166,P1,Database Corruption,2026-03-08 11:25:00,2026-03-08 12:02:01.143826,Malawi Cloud Partners
TICK-1167,P3,Password Reset,2026-01-16 18:36:00,2026-01-17 01:20:27.830354,Internal IT Desk
TICK-1168,P3,New Employee Onboarding Set,2026-03-27 13:27:00,2026-03-28 03:47:52.403956,NetConnect Solutions
TICK-1169,P2,Email Server Delay,2026-03-10 14:48:00,2026-03-10 17:29:39.258339,InnoTech Hardware
TICK-1170,P3,New Employee Onboarding Set,2026-03-03 19:04:00,2026-03-05 00:40:41.069701,Internal IT Desk
TICK-1171,P3,Software Installation,2026-03-17 15:25:00,2026-03-18 23:34:45.110887,Internal IT Desk
TICK-1172,P3,New Employee Onboarding Set,2026-03-31 15:20:00,2026-04-01 05:42:43.248359,Internal IT Desk
TICK-1173,P2,Printer Network Offline,2026-02-08 03:32:00,2026-02-08 15:28:29.017004,Malawi Cloud Partners
TICK-1174,P2,Printer Network Offline,2026-01-23 09:53:00,2026-01-23 19:11:23.418369,InnoTech Hardware
TICK-1175,P2,Email Server Delay,2026-03-10 03:33:00,2026-03-10 11:10:22.685372,Malawi Cloud Partners
TICK-1176,P2,VPN Connectivity Issue,2026-02-21 09:57:00,2026-02-21 19:29:54.161518,InnoTech Hardware
TICK-1177,P3,New Employee Onboarding Set,2026-01-19 00:55:00,2026-01-19 18:26:33.785863,Malawi Cloud Partners
TICK-1178,P3,New Employee Onboarding Set,2026-03-10 12:03:00,2026-03-11 01:40:38.278082,NetConnect Solutions
TICK-1179,P3,New Employee Onboarding Set,2026-01-16 23:15:00,2026-01-17 07:05:04.301032,NetConnect Solutions
TICK-1180,P2,Email Server Delay,2026-01-02 16:27:00,2026-01-03 01:49:18.488100,NetConnect Solutions
TICK-1181,P3,Software Installation,2026-02-01 19:23:00,2026-02-02 02:21:25.437433,NetConnect Solutions
TICK-1182,P1,ERP System Down,2026-01-12 17:34:00,2026-01-12 20:34:00.856951,InnoTech Hardware
TICK-1183,P3,Password Reset,2026-02-02 00:50:00,2026-02-02 09:55:51.823175,Malawi Cloud Partners
TICK-1184,P1,ERP System Down,2026-02-12 04:11:00,2026-02-12 04:34:12.868237,NetConnect Solutions
TICK-1185,P2,Email Server Delay,2026-03-08 00:32:00,2026-03-08 05:59:47.583669,NetConnect Solutions
TICK-1186,P3,Software Installation,2026-02-09 09:42:00,2026-02-10 16:06:32.959668,InnoTech Hardware
TICK-1187,P2,Printer Network Offline,2026-02-13 12:11:00,2026-02-13 22:55:00.119822,Internal IT Desk
TICK-1188,P3,Password Reset,2026-02-15 01:50:00,2026-02-16 00:13:12.466443,InnoTech Hardware
TICK-1189,P2,Printer Network Offline,2026-02-04 22:16:00,2026-02-05 09:34:21.427727,Internal IT Desk
TICK-1190,P3,Software Installation,2026-03-31 07:28:00,2026-03-31 23:38:47.803409,NetConnect Solutions
TICK-1191,P3,New Employee Onboarding Set,2026-01-26 09:25:00,2026-01-26 17:56:15.231277,Malawi Cloud Partners
TICK-1192,P2,VPN Connectivity Issue,2026-02-03 18:40:00,2026-02-03 23:53:31.007202,NetConnect Solutions
TICK-1193,P2,Printer Network Offline,2026-01-07 03:57:00,2026-01-07 08:11:10.119642,Malawi Cloud Partners
TICK-1194,P3,Software Installation,2026-03-16 23:35:00,2026-03-18 09:25:50.581303,Internal IT Desk
TICK-1195,P1,Database Corruption,2026-03-30 20:56:00,2026-03-30 21:29:52.996203,Malawi Cloud Partners
TICK-1196,P2,Printer Network Offline,2026-02-05 09:36:00,2026-02-05 20:34:57.418583,Malawi Cloud Partners
TICK-1197,P2,Printer Network Offline,2026-03-14 23:34:00,2026-03-15 11:05:40.710994,InnoTech Hardware
TICK-1198,P1,ERP System Down,2026-02-18 02:47:00,2026-02-18 02:58:41.122771,NetConnect Solutions
TICK-1199,P1,ERP System Down,2026-02-05 17:48:00,2026-02-05 18:11:49.292078,NetConnect Solutions
TICK-1200,P3,Password Reset,2026-01-24 22:31:00,2026-01-25 06:25:18.438005,Internal IT Desk
TICK-1201,P3,New Employee Onboarding Set,2026-02-06 11:48:00,2026-02-07 05:51:51.746531,Internal IT Desk
TICK-1202,P3,Software Installation,2026-02-24 12:22:00,2026-02-24 16:55:57.635667,NetConnect Solutions
TICK-1203,P3,Password Reset,2026-03-30 02:40:00,2026-03-30 19:02:00.288902,InnoTech Hardware
TICK-1204,P3,Software Installation,2026-01-30 16:48:00,2026-01-31 03:34:34.216397,Malawi Cloud Partners
TICK-1205,P3,New Employee Onboarding Set,2026-03-03 19:47:00,2026-03-04 19:36:26.140962,NetConnect Solutions
TICK-1206,P3,Password Reset,2026-03-30 21:12:00,2026-03-31 06:39:40.580185,InnoTech Hardware
TICK-1207,P1,Database Corruption,2026-02-28 18:48:00,2026-02-28 19:15:45.424833,Malawi Cloud Partners
TICK-1208,P3,New Employee Onboarding Set,2026-01-12 08:18:00,2026-01-13 08:04:39.552878,Internal IT Desk
TICK-1209,P2,Email Server Delay,2026-03-17 08:06:00,2026-03-17 16:15:07.899776,NetConnect Solutions
TICK-1210,P3,Software Installation,2026-01-28 13:30:00,2026-01-29 20:38:11.429981,Internal IT Desk
TICK-1211,P1,ERP System Down,2026-02-21 18:57:00,2026-02-21 19:43:41.817843,Internal IT Desk
TICK-1212,P2,Printer Network Offline,2026-01-16 20:04:00,2026-01-17 02:12:28.671091,InnoTech Hardware
TICK-1213,P2,Printer Network Offline,2026-01-12 19:58:00,2026-01-13 05:39:34.976171,NetConnect Solutions
TICK-1214,P2,Printer Network Offline,2026-03-26 03:52:00,2026-03-26 10:40:48.389459,Malawi Cloud Partners
TICK-1215,P3,Software Installation,2026-01-23 15:56:00,2026-01-24 20:15:45.387624,NetConnect Solutions
TICK-1216,P2,Email Server Delay,2026-02-08 12:52:00,2026-02-08 17:01:07.267393,NetConnect Solutions
TICK-1217,P3,Software Installation,2026-02-11 06:13:00,2026-02-12 17:26:40.656566,NetConnect Solutions
TICK-1218,P1,Database Corruption,2026-01-05 02:22:00,2026-01-05 03:22:13.386370,Internal IT Desk
TICK-1219,P2,VPN Connectivity Issue,2026-03-16 17:46:00,2026-03-17 00:18:37.584044,InnoTech Hardware
TICK-1220,P1,Core Switch Failure,2026-03-17 08:09:00,2026-03-17 08:23:37.911392,Malawi Cloud Partners
TICK-1221,P2,Email Server Delay,2026-02-27 11:16:00,2026-02-27 19:24:26.927203,NetConnect Solutions
TICK-1222,P2,Email Server Delay,2026-01-07 13:12:00,2026-01-08 00:45:43.998863,NetConnect Solutions
TICK-1223,P3,Password Reset,2026-02-09 09:08:00,2026-02-10 10:12:41.335243,NetConnect Solutions
TICK-1224,P3,Password Reset,2026-02-19 01:04:00,2026-02-19 07:30:43.222207,Internal IT Desk
TICK-1225,P3,Password Reset,2026-01-29 04:37:00,2026-01-29 16:42:52.331459,Malawi Cloud Partners
TICK-1226,P3,New Employee Onboarding Set,2026-03-24 07:47:00,2026-03-25 08:52:57.571838,InnoTech Hardware
TICK-1227,P2,VPN Connectivity Issue,2026-03-06 21:51:00,2026-03-07 05:59:21.609051,NetConnect Solutions
TICK-1228,P3,Password Reset,2026-01-17 06:24:00,2026-01-17 13:46:55.888885,InnoTech Hardware
TICK-1229,P2,Email Server Delay,2026-02-14 03:35:00,2026-02-14 06:00:00.224422,Internal IT Desk
TICK-1230,P3,New Employee Onboarding Set,2026-03-11 18:43:00,2026-03-12 01:01:24.115507,NetConnect Solutions
TICK-1231,P1,Core Switch Failure,2026-02-23 06:26:00,2026-02-23 07:29:56.455238,NetConnect Solutions
TICK-1232,P2,VPN Connectivity Issue,2026-03-15 18:38:00,2026-03-16 00:07:49.316271,Internal IT Desk
TICK-1233,P3,New Employee Onboarding Set,2026-03-08 12:12:00,2026-03-08 22:07:34.529418,InnoTech Hardware
TICK-1234,P2,Printer Network Offline,2026-02-27 19:27:00,2026-02-28 04:03:10.897909,NetConnect Solutions
TICK-1235,P1,ERP System Down,2026-03-13 08:38:00,2026-03-13 09:43:03.663402,Internal IT Desk
TICK-1236,P2,Email Server Delay,2026-01-01 02:12:00,2026-01-01 06:28:42.327032,Internal IT Desk
TICK-1237,P2,Printer Network Offline,2026-03-03 16:24:00,2026-03-03 18:30:15.397178,Malawi Cloud Partners
TICK-1238,P2,Printer Network Offline,2026-02-25 00:37:00,2026-02-25 09:03:20.553127,NetConnect Solutions
TICK-1239,P2,Email Server Delay,2026-01-06 11:44:00,2026-01-06 23:25:05.595993,InnoTech Hardware
TICK-1240,P1,Core Switch Failure,2026-02-01 12:46:00,2026-02-01 18:37:56.919093,InnoTech Hardware
